objid,ra,dec,redshift,radius,magnitude,baryonic_density_proxy,Delta,KK_Mass_eV
1237648675068379511,242.362370255738,0.686754356509005,0.1163819,3.084497,17.05523,15.832128117621433,1.2643875106825475,1.94450329155988e-21
1237648675068379494,242.354481185825,0.753852859261726,0.115787,5.063968,17.08157,5.733107625663381,0.45785819982214104,1.870663461979252e-21
1237648675068379467,242.498754100599,0.777210940324502,0.0436522,6.83152,14.72286,27.658034356648592,2.2088295995819123,2.0346825011537775e-21
1237648675068379218,242.477105121354,0.791814937221442,0.1163963,1.843285,17.41309,31.884456766447055,2.546360705325696,2.0679158838725925e-21
1237648675068248528,242.143852913512,0.678413739072689,0.1368989,6.388525,17.41467,2.6505182733784123,0.21167604107280433,1.8486884039705236e-21
1237648675068183075,241.975581471504,0.675085107737281,0.1174917,7.413044,16.27417,5.627802450551436,0.449448303993065,1.8699084743016977e-21
1237648675068051854,241.736530031173,0.712536955031365,0.05773805,9.330507,15.60347,6.588727011426848,0.5261897884260194,1.8768091546411533e-21
1237648675067986449,241.494650008633,0.69605006365956,0.07091825,9.097128,16.29092,3.6797930016814298,0.2938761156211542,1.8559970044910542e-21
1237648675067986376,241.579548373114,0.738634789154046,0.05541354,5.39596,16.05973,12.941081037623857,1.0335023262280547,1.9230723290547417e-21
1237648675067920815,241.402812989744,0.732715849995085,0.07801124,7.928008,15.37877,11.224418233054527,0.8964059741757429,1.9104588591799152e-21
1237648675067855293,241.227983368321,0.732564392457604,0.07130937,3.95729,16.50694,15.937795307470578,1.2728263177804684,1.945291096936991e-21
1237648675067592710,240.558213802963,0.719401376384149,0.050244,2.494557,17.27798,19.71610562730583,1.5745702365001202,1.973671153455185e-21
1237648675067527544,240.477656123862,0.710363386658337,0.131037,3.896772,17.00949,10.346513006605164,0.8262945908140807,1.9040403097122075e-21
1237648675067331235,239.987735440863,0.743525633759667,0.05636472,7.49761,17.50424,1.771977926876264,0.14151393566944562,1.842472898284794e-21
1237648675067265539,239.944971162317,0.797136799880288,0.05311374,4.530299,17.32666,5.7158690048697816,0.45648148680725836,1.8705398484603663e-21
1237648675067265378,239.884447684927,0.763026148891628,0.1205699,6.699125,17.18895,2.9674529181662854,0.2369871176125639,1.850935799006961e-21
1237648675067199844,239.677577111952,0.664812099284866,0.1039291,4.990843,16.88838,7.051803199350239,0.56317204022154,1.8801437276249293e-21
1237648675067134474,239.63904012521,0.785250318829593,0.1185324,3.783144,16.98972,11.179084919278838,0.8927855590723534,1.9101268886284667e-21
1237648675067134405,239.601256185341,0.692351842238002,0.1017071,4.710662,16.9156,7.719623373177454,0.6165055833116293,1.8849630806616645e-21
1237648675067134282,239.544099660839,0.699226482945485,0.100911,4.288867,17.49133,5.480028820171044,0.43764678676979124,1.8688495219247488e-21
1237648675066937657,239.118703796922,0.748423409040963,0.03247265,4.414183,17.65409,4.453109068300604,0.35563478566091716,1.861507115102969e-21
